n,m,k,budget,len(output)_avg,len(covered)_avg,epsilon_avg,time_avg,len(output)_std,len(covered)_std,epsilon_std,time_std
1000,100,5,1,4.6,422.9,0.07469969847185058,74.12454714775086,2.0912516188477497,137.9234932852268,0.08632723193192023,11.445198557386508
1000,100,5,10,5.333333333333333,453.3,0.010562595308187402,71.70353015263875,2.2261077142752,150.03425164497162,0.009058400270784096,9.545125550216815
1000,100,5,100,5.4,454.5,0.000412186379928318,59.684470280011496,1.7048949136725897,110.40644606785119,0.001242484988202763,11.586381317076505
1000,100,10,1,10.533333333333333,653.9333333333333,0.044472161013543766,49.02729926904043,2.445858177045886,83.20974836052697,0.03492468370123873,4.419201949194055
1000,100,10,10,10.033333333333333,632.4,0.00925489837303682,47.415095845858254,2.0245712852080286,67.7173537581025,0.00738004947986329,6.61510722176062
1000,100,10,100,10.666666666666666,645.6,0.0011369036020842048,52.193216753005984,2.748737083745107,95.18809449365679,0.0013989656588262133,5.943387196835616
1000,100,15,1,15.333333333333334,720.1,0.03649483913613929,73.08047448794046,3.457680661303984,82.3004050212796,0.025231849215342286,14.416289569872173
1000,100,15,10,16.3,733.9,0.0035771715864053514,72.35618281364441,3.4365680554879168,88.22446750571332,0.003883637523311942,9.3291762683195
1000,100,15,100,15.366666666666667,715.2666666666667,0.00036003118496596244,66.43030638694763,2.456058269305153,61.99566293074236,0.0009204417966534992,11.347998150488623
1000,100,20,1,19.7,765.9,0.031001013280793122,38.53022528489431,2.7465129406819355,50.82148495797161,0.027432168753511073,17.150810954072796
1000,100,20,10,20.1,772.2666666666667,0.005524425573116735,16.956645115216574,2.8559878617855965,46.69399199992317,0.004020808591129584,2.3973356397031385
1000,100,20,100,20.266666666666666,766.8,0.000162233785973472,14.5183056195577,3.829128128206501,60.81743171164005,0.0006078675125789922,0.9263712159590597
1000,100,25,1,25.333333333333332,822.5666666666667,0.030182406239070352,13.244340777397156,3.5433819375782165,43.20623668972905,0.02012307605690556,0.9696079416062181
1000,100,25,10,25.766666666666666,829.2333333333333,0.003884945044901052,8.217058229446412,3.0624971655315685,43.3764016744384,0.00406492120873905,5.416075085855398
1000,100,25,100,26.266666666666666,830.3333333333334,0.0001530676653762016,2.5024276971817017,3.881007887420769,54.17584537616577,0.0005734030984973694,0.032995243091796474
