n,m,k,budget,len(output)_avg,len(covered)_avg,epsilon_avg,time_avg,len(output)_std,len(covered)_std,epsilon_std,time_std
1000,50,10,1,10.566666666666666,625.1333333333333,0.03731118893803441,33.529153847694396,1.3085190950927013,48.89017170034166,0.02513431438586413,5.164999046931567
1000,50,10,10,9.733333333333333,598.8666666666667,0.004926107496824354,34.857000438372296,2.1592179654268864,68.35823936358287,0.004520912903113563,2.0206729298921946
1000,50,10,100,10.7,625.5,0.00027799761375439197,38.397142807642616,2.4515301344262523,72.05819407488183,0.0008343538870885892,4.483448114143932
1000,100,10,1,9.8,628.3,0.03930975263567618,61.32158957322439,2.2420228961066986,78.47638710678093,0.02686096689991805,5.950736855082139
1000,100,10,10,10.4,645.2666666666667,0.008334315688821496,50.25325259367625,2.430363484474425,81.55077491286572,0.007346908785522062,7.097285525740841
1000,100,10,100,10.1,625.5333333333333,0.0006102223241519322,58.27010916074117,2.3430749027719964,95.03884585906029,0.0012237057203454704,12.87432969041334
1000,150,10,1,9.8,625.3,0.04250619765029082,59.9671115398407,2.625515822335362,96.4196211013782,0.037994729252064006,6.958075579227634
1000,150,10,10,9.5,618.6333333333333,0.004437661243027713,60.63550899028778,2.247220505424423,82.46675424409254,0.004088155610909748,5.393492306214651
1000,150,10,100,10.333333333333334,645.2333333333333,8.841732979663804e-05,66.21051468849183,2.547329756605707,90.26024718679992,0.0004761418927616601,9.134748532780868
1000,219,10,1,9.766666666666667,631.2,0.041573751293045975,112.61574411392212,2.641758673476608,104.28499412667193,0.04302593957452286,15.256013790016794
1000,219,10,10,10.866666666666667,676.9666666666667,0.004219493144024951,52.22984203497569,2.3767391293301183,73.14118007129925,0.004657129643658866,30.97715260720357
1000,219,10,100,9.7,625.1666666666666,0.0002677395068699351,28.405808432896933,2.5839246635044657,108.78605404901657,0.001066658785657411,3.1752850515833364
