n,m,k,len(output),len(covered),b0,b1,epsilon,time
1000,100,5,6,501,245,256,1.0448979591836736,41.061872243881226
1000,100,10,13,749,368,381,1.0353260869565217,30.44811463356018
1000,100,15,15,710,358,352,1.0170454545454546,57.087329149246216
1000,100,20,19,741,357,384,1.0756302521008403,41.466819047927856
1000,100,25,27,854,420,434,1.0333333333333334,49.866517305374146
1000,100,5,2,362,167,195,1.1676646706586826,45.538464307785034
1000,100,10,10,643,311,332,1.067524115755627,44.30756187438965
1000,100,15,20,828,409,419,1.0244498777506112,47.024863958358765
1000,100,20,14,688,336,352,1.0476190476190477,33.47887134552002
1000,100,25,23,829,410,419,1.0219512195121951,43.32313299179077
1000,100,5,4,374,184,190,1.0326086956521738,41.70752215385437
1000,100,10,11,686,330,356,1.0787878787878789,33.6521942615509
1000,100,15,18,794,388,406,1.0463917525773196,42.77693724632263
1000,100,20,19,770,382,388,1.0157068062827226,44.092426776885986
1000,100,25,36,921,448,473,1.0558035714285714,40.26579451560974
1000,100,5,3,307,151,156,1.033112582781457,42.28757047653198
1000,100,10,5,434,204,230,1.1274509803921569,34.75178289413452
1000,100,15,16,699,352,347,1.0144092219020173,41.5364453792572
1000,100,20,22,824,397,427,1.0755667506297228,42.69727683067322
1000,100,25,24,793,397,396,1.0025252525252526,38.10766124725342
1000,100,5,5,489,235,254,1.0808510638297872,41.29993915557861
1000,100,10,10,637,315,322,1.0222222222222221,34.33408212661743
1000,100,15,13,700,355,345,1.0289855072463767,51.5976128578186
1000,100,20,11,571,285,286,1.0035087719298246,38.70478701591492
1000,100,25,27,869,428,441,1.030373831775701,49.311590909957886
1000,100,5,6,544,259,285,1.1003861003861004,41.5640811920166
1000,100,10,14,748,367,381,1.0381471389645776,40.135132789611816
1000,100,15,15,727,354,373,1.0536723163841808,47.68023204803467
1000,100,20,22,797,398,399,1.0025125628140703,56.09955883026123
1000,100,25,23,832,402,430,1.0696517412935322,59.56235647201538
1000,100,5,6,498,242,256,1.0578512396694215,58.568222522735596
1000,100,10,10,633,305,328,1.0754098360655737,41.87038707733154
1000,100,15,15,757,377,380,1.0079575596816976,50.55725884437561
1000,100,20,19,797,394,403,1.0228426395939085,41.17591381072998
1000,100,25,25,836,417,419,1.0047961630695443,50.68140912055969
1000,100,5,4,351,171,180,1.0526315789473684,52.14574098587036
1000,100,10,8,583,290,293,1.0103448275862068,46.636903524398804
1000,100,15,17,781,381,400,1.0498687664041995,50.60038948059082
1000,100,20,28,807,406,401,1.0124688279301746,40.88302159309387
1000,100,25,28,831,406,425,1.0467980295566504,43.97992205619812
1000,100,5,3,309,152,157,1.0328947368421053,51.202880859375
1000,100,10,12,713,342,371,1.0847953216374269,44.62594389915466
1000,100,15,14,670,332,338,1.0180722891566265,51.45823955535889
1000,100,20,15,699,358,341,1.0498533724340176,38.35167908668518
1000,100,25,16,655,319,336,1.0532915360501567,40.37167000770569
1000,100,5,5,453,228,225,1.0133333333333334,53.552303075790405
1000,100,10,10,632,307,325,1.0586319218241043,36.284984827041626
1000,100,15,16,762,374,388,1.0374331550802138,44.354100942611694
1000,100,20,16,711,345,366,1.0608695652173914,38.04642152786255
1000,100,25,23,809,398,411,1.0326633165829147,41.17340302467346
1000,100,5,4,471,226,245,1.084070796460177,50.52519726753235
1000,100,10,13,733,361,372,1.0304709141274238,33.07003378868103
1000,100,15,10,610,299,311,1.040133779264214,50.689671754837036
1000,100,20,28,886,431,455,1.0556844547563806,37.414358377456665
1000,100,25,25,848,416,432,1.0384615384615385,40.061784982681274
1000,100,5,6,529,259,270,1.0424710424710424,48.295639991760254
1000,100,10,6,424,216,208,1.0384615384615385,35.4285032749176
1000,100,15,15,725,354,371,1.0480225988700564,52.460076332092285
1000,100,20,17,776,384,392,1.0208333333333333,36.74427056312561
1000,100,25,33,908,451,457,1.0133037694013303,42.153226137161255
1000,100,5,5,434,217,217,1.0,38.233437299728394
1000,100,10,13,685,339,346,1.0206489675516224,36.50222039222717
1000,100,15,10,581,294,287,1.024390243902439,44.45773434638977
1000,100,20,18,748,367,381,1.0381471389645776,34.46329665184021
1000,100,25,28,887,434,453,1.043778801843318,39.34693002700806
1000,100,5,6,494,245,249,1.0163265306122449,54.10616946220398
1000,100,10,7,491,238,253,1.0630252100840336,43.29446864128113
1000,100,15,17,737,358,379,1.058659217877095,58.67931842803955
1000,100,20,15,603,315,288,1.09375,36.50868105888367
1000,100,25,27,869,429,440,1.0256410256410255,43.89420676231384
1000,100,5,6,548,269,279,1.037174721189591,53.05150032043457
1000,100,10,12,689,327,362,1.107033639143731,30.33631181716919
1000,100,15,16,769,382,387,1.013089005235602,15.486469984054565
1000,100,20,18,714,361,353,1.0226628895184136,13.979569673538208
1000,100,25,26,812,403,409,1.0148883374689825,21.673416137695312
1000,100,5,5,439,226,213,1.0610328638497653,14.115985870361328
1000,100,10,10,646,318,328,1.0314465408805031,18.152583122253418
1000,100,15,18,799,391,408,1.0434782608695652,23.278533220291138
1000,100,20,17,746,370,376,1.0162162162162163,14.35155701637268
1000,100,25,22,806,400,406,1.015,15.584880590438843
1000,100,5,3,414,189,225,1.1904761904761905,14.726224184036255
1000,100,10,12,702,344,358,1.0406976744186047,11.095520973205566
1000,100,15,13,604,307,297,1.0336700336700337,14.597676038742065
1000,100,20,21,798,397,401,1.0100755667506298,12.827929735183716
1000,100,25,23,845,414,431,1.041062801932367,18.749083042144775
1000,100,5,6,534,251,283,1.1274900398406376,12.80652928352356
1000,100,10,10,668,333,335,1.006006006006006,12.255678415298462
1000,100,15,13,737,359,378,1.052924791086351,15.96929669380188
1000,100,20,15,736,355,381,1.0732394366197182,17.823145866394043
1000,100,25,34,891,442,449,1.0158371040723981,11.352035522460938
1000,100,5,3,295,138,157,1.1376811594202898,13.015443086624146
1000,100,10,11,690,339,351,1.0353982300884956,14.252001285552979
1000,100,15,15,720,362,358,1.011173184357542,13.245442390441895
1000,100,20,13,694,338,356,1.0532544378698225,13.056319952011108
1000,100,25,23,819,408,411,1.0073529411764706,10.40206265449524
1000,100,5,3,406,191,215,1.12565445026178,14.204336166381836
1000,100,10,9,640,312,328,1.0512820512820513,12.449098110198975
1000,100,15,15,718,354,364,1.0282485875706215,17.333082675933838
1000,100,20,23,822,408,414,1.0147058823529411,13.435006856918335
1000,100,25,23,817,401,416,1.0374064837905237,14.486739158630371
1000,100,5,4,375,193,182,1.0604395604395604,16.009934902191162
1000,100,10,16,791,386,405,1.049222797927461,12.497889518737793
1000,100,15,12,654,328,326,1.0061349693251533,20.18053674697876
1000,100,20,27,864,428,436,1.0186915887850467,12.297912120819092
1000,100,25,26,863,431,432,1.0023201856148491,11.953139305114746
1000,100,5,5,508,249,259,1.0401606425702812,15.153895616531372
1000,100,10,10,644,311,333,1.0707395498392283,12.237845420837402
1000,100,15,14,710,357,353,1.0113314447592068,15.108026266098022
1000,100,20,23,832,412,420,1.0194174757281553,12.725069046020508
1000,100,25,28,850,427,423,1.0094562647754137,13.01563048362732
1000,100,5,5,508,256,252,1.0158730158730158,23.237496376037598
1000,100,10,13,730,357,373,1.0448179271708684,22.56531310081482
1000,100,15,16,750,373,377,1.0107238605898123,18.816539764404297
1000,100,20,12,632,309,323,1.0453074433656957,19.786810398101807
1000,100,25,20,774,385,389,1.0103896103896104,13.934287786483765
1000,100,5,4,374,185,189,1.0216216216216216,15.15493130683899
1000,100,10,7,545,262,283,1.0801526717557253,13.504233598709106
1000,100,15,16,728,355,373,1.0507042253521126,22.042946338653564
1000,100,20,28,876,426,450,1.056338028169014,16.67951798439026
1000,100,25,30,860,424,436,1.028301886792453,13.43259572982788
1000,100,5,6,544,274,270,1.0148148148148148,14.246495246887207
1000,100,10,7,531,260,271,1.0423076923076924,11.910064697265625
1000,100,15,12,598,291,307,1.0549828178694158,17.58255696296692
1000,100,20,21,779,389,390,1.0025706940874035,14.845352172851562
1000,100,25,29,863,436,427,1.0210772833723654,17.622552394866943
1000,100,5,6,512,246,266,1.08130081300813,29.325055599212646
1000,100,10,8,603,290,313,1.0793103448275863,15.635263204574585
1000,100,15,16,709,356,353,1.0084985835694051,16.890514850616455
1000,100,20,27,876,434,442,1.0184331797235022,13.828674554824829
1000,100,25,26,846,417,429,1.0287769784172662,16.987626314163208
1000,100,5,7,542,266,276,1.037593984962406,20.37070941925049
1000,100,10,13,727,360,367,1.0194444444444444,11.961122751235962
1000,100,15,20,828,403,425,1.054590570719603,15.969823360443115
1000,100,20,26,813,399,414,1.037593984962406,11.27283501625061
1000,100,25,22,763,367,396,1.0790190735694822,12.867842197418213
1000,100,5,7,549,276,273,1.010989010989011,16.30228543281555
1000,100,10,10,651,313,338,1.0798722044728435,13.495981216430664
1000,100,15,12,630,309,321,1.0388349514563107,17.995771884918213
1000,100,20,18,738,357,381,1.0672268907563025,11.010416984558105
1000,100,25,25,833,412,421,1.0218446601941749,11.970179557800293
1000,100,5,4,368,191,177,1.07909604519774,17.143129587173462
1000,100,10,11,678,325,353,1.0861538461538462,12.565654993057251
1000,100,15,10,570,287,283,1.0141342756183747,23.989790439605713
1000,100,20,22,849,416,433,1.0408653846153846,3.180638074874878
1000,100,25,29,891,437,454,1.0389016018306636,3.046459197998047
1000,100,5,3,415,196,219,1.1173469387755102,3.2573277950286865
1000,100,10,12,723,354,369,1.0423728813559323,2.5723984241485596
1000,100,15,17,736,369,367,1.005449591280654,3.171680212020874
1000,100,20,16,689,334,355,1.062874251497006,2.694136619567871
1000,100,25,21,777,380,397,1.0447368421052632,2.805145025253296
