n,m,k,len(output),len(covered),b0,b1,epsilon,time
1000,50,10,9,557,273,284,1.0402930402930404,7.956752777099609
1000,100,10,10,638,318,320,1.0062893081761006,14.118363857269287
1000,150,10,12,700,337,363,1.0771513353115727,18.93456768989563
1000,219,10,14,765,373,392,1.0509383378016086,26.605488061904907
1000,50,10,11,615,302,313,1.0364238410596027,17.440979957580566
1000,100,10,11,700,337,363,1.0771513353115727,20.84202218055725
1000,150,10,14,769,372,397,1.0672043010752688,20.733750343322754
1000,219,10,13,754,372,382,1.0268817204301075,28.508995056152344
1000,50,10,10,627,317,310,1.0225806451612902,7.722443342208862
1000,100,10,8,559,274,285,1.0401459854014599,10.961273193359375
1000,150,10,12,725,350,375,1.0714285714285714,14.397684812545776
1000,219,10,10,651,319,332,1.0407523510971788,24.729427814483643
1000,50,10,12,672,337,335,1.0059701492537314,8.43295669555664
1000,100,10,6,500,230,270,1.173913043478261,15.814730882644653
1000,150,10,8,599,286,313,1.0944055944055944,36.6679744720459
1000,219,10,13,727,365,362,1.0082872928176796,98.47738313674927
1000,50,10,11,663,322,341,1.0590062111801242,24.227728128433228
1000,100,10,8,577,283,294,1.03886925795053,38.530396461486816
1000,150,10,5,452,221,231,1.0452488687782806,53.753695011138916
1000,219,10,9,620,323,297,1.0875420875420876,124.73995995521545
1000,50,10,12,671,323,348,1.0773993808049536,22.371837377548218
1000,100,10,7,533,246,287,1.1666666666666667,50.483519554138184
1000,150,10,12,733,363,370,1.019283746556474,55.549665689468384
1000,219,10,9,616,305,311,1.019672131147541,110.25601720809937
1000,50,10,8,555,266,289,1.086466165413534,30.689584493637085
1000,100,10,10,663,321,342,1.0654205607476634,40.34593462944031
1000,150,10,14,776,370,406,1.0972972972972972,47.87801909446716
1000,219,10,10,664,328,336,1.024390243902439,104.84491729736328
1000,50,10,11,674,326,348,1.0674846625766872,32.16169357299805
1000,100,10,14,729,366,363,1.0082644628099173,39.334311723709106
1000,150,10,8,574,292,282,1.0354609929078014,55.08568739891052
1000,219,10,8,602,306,296,1.0337837837837838,88.00934648513794
1000,50,10,12,688,335,353,1.0537313432835822,32.24097919464111
1000,100,10,8,569,273,296,1.0842490842490842,66.5283420085907
1000,150,10,9,599,299,300,1.0033444816053512,49.16414785385132
1000,219,10,5,414,210,204,1.0294117647058822,93.49610471725464
1000,50,10,5,400,189,211,1.1164021164021165,35.098918199539185
1000,100,10,9,592,296,296,1.0,54.97135329246521
1000,150,10,13,728,365,363,1.0055096418732783,55.20728349685669
1000,219,10,7,550,265,285,1.0754716981132075,95.02650547027588
1000,50,10,10,620,310,310,1.0,28.482102155685425
1000,100,10,9,609,296,313,1.0574324324324325,47.10182476043701
1000,150,10,8,552,280,272,1.0294117647058822,56.15732765197754
1000,219,10,15,789,392,397,1.0127551020408163,100.02495789527893
1000,50,10,5,340,167,173,1.035928143712575,31.865749835968018
1000,100,10,11,700,342,358,1.0467836257309941,53.038796186447144
1000,150,10,13,704,345,359,1.0405797101449274,48.22478461265564
1000,219,10,11,680,337,343,1.0178041543026706,98.31320524215698
1000,50,10,9,469,232,237,1.021551724137931,44.3468234539032
1000,100,10,8,575,290,285,1.0175438596491229,49.65823793411255
1000,150,10,8,573,280,293,1.0464285714285715,51.30232048034668
1000,219,10,11,696,346,350,1.0115606936416186,97.56588864326477
1000,50,10,10,576,282,294,1.0425531914893618,26.391990423202515
1000,100,10,15,753,372,381,1.0241935483870968,44.88979625701904
1000,150,10,11,703,351,352,1.002849002849003,58.31636023521423
1000,219,10,10,659,322,337,1.046583850931677,109.27474403381348
1000,50,10,8,537,272,265,1.0264150943396226,31.41097664833069
1000,100,10,9,603,293,310,1.0580204778156996,49.89980387687683
1000,150,10,8,593,295,298,1.0101694915254238,55.818718910217285
1000,219,10,14,749,377,372,1.0134408602150538,104.38218832015991
1000,50,10,13,681,333,348,1.045045045045045,28.16192078590393
1000,100,10,11,705,343,362,1.055393586005831,48.20579981803894
1000,150,10,12,714,353,361,1.0226628895184136,56.21609330177307
1000,219,10,13,730,364,366,1.0054945054945055,93.80246114730835
1000,50,10,13,707,346,361,1.0433526011560694,31.588462829589844
1000,100,10,7,554,264,290,1.0984848484848484,41.32213568687439
1000,150,10,9,626,291,335,1.1512027491408934,52.30469012260437
1000,219,10,10,640,313,327,1.0447284345047922,56.367040157318115
1000,50,10,11,648,316,332,1.0506329113924051,10.609578371047974
1000,100,10,9,644,312,332,1.064102564102564,19.240474939346313
1000,150,10,14,745,365,380,1.0410958904109588,19.537557363510132
1000,219,10,10,660,335,325,1.0307692307692307,31.196331024169922
1000,50,10,12,689,333,356,1.0690690690690692,8.721208572387695
1000,100,10,9,594,295,299,1.0135593220338983,13.478632926940918
1000,150,10,8,590,292,298,1.0205479452054795,18.07291030883789
1000,219,10,11,690,347,343,1.0116618075801749,44.02479267120361
1000,50,10,10,594,298,296,1.0067567567567568,10.580692291259766
1000,100,10,11,685,327,358,1.0948012232415902,21.97861647605896
1000,150,10,9,622,292,330,1.13013698630137,23.404070138931274
1000,219,10,12,675,336,339,1.0089285714285714,24.913560390472412
1000,50,10,12,676,336,340,1.0119047619047619,9.25198769569397
1000,100,10,13,753,369,384,1.0406504065040652,12.645101547241211
1000,150,10,11,698,344,354,1.0290697674418605,18.006284952163696
1000,219,10,9,632,314,318,1.0127388535031847,26.305737018585205
1000,50,10,15,738,356,382,1.0730337078651686,7.4330034255981445
1000,100,10,6,493,244,249,1.0204918032786885,13.197411298751831
1000,150,10,13,750,369,381,1.032520325203252,16.359776496887207
1000,219,10,12,711,353,358,1.0141643059490084,25.09142518043518
1000,50,10,10,648,307,341,1.1107491856677525,9.749495029449463
1000,100,10,11,648,322,326,1.0124223602484472,11.109814643859863
1000,150,10,12,683,345,338,1.0207100591715976,16.845687866210938
1000,219,10,7,547,273,274,1.0036630036630036,26.640828847885132
1000,50,10,12,680,333,347,1.042042042042042,9.076793670654297
1000,100,10,9,618,312,306,1.0196078431372548,11.484833240509033
1000,150,10,11,680,337,343,1.0178041543026706,14.353272438049316
1000,219,10,9,598,295,303,1.0271186440677966,44.60041546821594
1000,50,10,9,581,279,302,1.082437275985663,8.191282510757446
1000,100,10,7,507,244,263,1.0778688524590163,28.19301986694336
1000,150,10,9,606,308,298,1.0335570469798658,21.848914623260498
1000,219,10,13,743,369,374,1.013550135501355,27.95119547843933
1000,50,10,9,622,295,327,1.1084745762711865,14.725326776504517
1000,100,10,7,549,267,282,1.0561797752808988,11.33079743385315
1000,150,10,11,706,335,371,1.1074626865671642,18.356841564178467
1000,219,10,7,554,261,293,1.1226053639846743,44.57722544670105
1000,50,10,10,623,310,313,1.0096774193548388,10.681262254714966
1000,100,10,10,667,324,343,1.058641975308642,15.736498355865479
1000,150,10,9,632,299,333,1.1137123745819397,18.726861715316772
1000,219,10,12,720,348,372,1.0689655172413792,26.179816722869873
1000,50,10,11,650,321,329,1.0249221183800623,10.25600004196167
1000,100,10,11,671,325,346,1.0646153846153845,34.91143488883972
1000,150,10,11,647,332,315,1.053968253968254,26.14486002922058
1000,219,10,11,652,323,329,1.0185758513931888,45.843533515930176
1000,50,10,14,720,357,363,1.0168067226890756,14.277132511138916
1000,100,10,6,475,233,242,1.03862660944206,18.324848413467407
1000,150,10,7,541,270,271,1.0037037037037038,28.619657278060913
1000,219,10,10,642,321,321,1.0,42.67658829689026
1000,50,10,7,510,251,259,1.0318725099601593,11.506769895553589
1000,100,10,14,730,353,377,1.0679886685552409,14.590386629104614
1000,150,10,11,690,338,352,1.0414201183431953,15.95091462135315
1000,219,10,13,735,364,371,1.0192307692307692,32.153860092163086
