n,m,k,len(output),len(covered),b0,b1,epsilon,time
200,100,10,11,153,75,78,1.04,0.12015151977539062
500,100,10,11,328,155,173,1.1161290322580646,1.087857723236084
1000,100,10,12,711,339,372,1.0973451327433628,2.842533588409424
1500,100,10,8,870,418,452,1.0813397129186604,6.0459229946136475
1986,100,10,10,1288,637,651,1.021978021978022,14.285537719726562
200,100,10,10,144,68,76,1.1176470588235294,0.07123279571533203
500,100,10,9,292,146,146,1.0,0.5475950241088867
1000,100,10,7,546,265,281,1.060377358490566,2.986459255218506
1500,100,10,9,945,474,471,1.0063694267515924,5.7822041511535645
1986,100,10,8,1139,571,568,1.005281690140845,14.28707242012024
200,100,10,10,142,72,70,1.0285714285714285,0.11670446395874023
500,100,10,8,289,133,156,1.1729323308270676,0.7852327823638916
1000,100,10,12,704,351,353,1.0056980056980056,2.8672971725463867
1500,100,10,10,999,488,511,1.0471311475409837,5.2923500537872314
1986,100,10,9,1234,617,617,1.0,12.760393619537354
200,100,10,9,135,64,71,1.109375,0.10190749168395996
500,100,10,8,252,127,125,1.016,0.6411852836608887
1000,100,10,6,478,238,240,1.0084033613445378,3.103679895401001
1500,100,10,13,1108,551,557,1.0108892921960073,6.010354995727539
1986,100,10,9,1236,613,623,1.0163132137030995,13.691179990768433
200,100,10,12,147,75,72,1.0416666666666667,0.11687731742858887
500,100,10,11,339,160,179,1.11875,0.6490898132324219
1000,100,10,14,746,372,374,1.0053763440860215,2.5649187564849854
1500,100,10,14,1151,571,580,1.0157618213660244,5.7367026805877686
1986,100,10,12,1406,714,692,1.0317919075144508,15.380583047866821
200,100,10,7,104,56,48,1.1666666666666667,0.07461738586425781
500,100,10,13,361,175,186,1.062857142857143,0.5686988830566406
1000,100,10,14,749,363,386,1.0633608815426998,2.7877988815307617
1500,100,10,12,1063,525,538,1.0247619047619048,5.890254974365234
1986,100,10,7,1095,550,545,1.0091743119266054,13.472064971923828
200,100,10,10,144,69,75,1.0869565217391304,0.08527946472167969
500,100,10,11,349,166,183,1.1024096385542168,0.5489132404327393
1000,100,10,9,624,301,323,1.0730897009966778,2.800476551055908
1500,100,10,7,829,411,418,1.0170316301703164,6.229046821594238
1986,100,10,8,1140,562,578,1.0284697508896796,14.129604816436768
200,100,10,9,132,67,65,1.0307692307692307,0.11797904968261719
500,100,10,8,272,132,140,1.0606060606060606,1.062307596206665
1000,100,10,11,657,323,334,1.0340557275541795,2.8780903816223145
1500,100,10,11,1015,508,507,1.0019723865877712,5.831050395965576
1986,100,10,12,1444,720,724,1.0055555555555555,14.13737964630127
200,100,10,10,140,68,72,1.0588235294117647,0.11602044105529785
500,100,10,12,347,168,179,1.0654761904761905,0.46112775802612305
1000,100,10,16,776,376,400,1.0638297872340425,3.12536883354187
1500,100,10,10,998,502,496,1.0120967741935485,6.144955635070801
1986,100,10,10,1311,647,664,1.026275115919629,13.702221632003784
200,100,10,11,146,74,72,1.0277777777777777,0.07845950126647949
500,100,10,13,379,179,200,1.1173184357541899,0.8613235950469971
1000,100,10,11,653,325,328,1.0092307692307692,2.7016048431396484
1500,100,10,7,779,401,378,1.060846560846561,10.352581024169922
1986,100,10,12,1431,720,711,1.0126582278481013,37.85086631774902
200,100,10,13,156,77,79,1.025974025974026,0.28432607650756836
500,100,10,6,215,105,110,1.0476190476190477,4.256938934326172
1000,100,10,15,766,373,393,1.0536193029490617,13.554065227508545
1500,100,10,8,873,432,441,1.0208333333333333,21.17980408668518
1986,100,10,10,1342,670,672,1.0029850746268656,45.75821018218994
200,100,10,14,160,78,82,1.0512820512820513,0.24011874198913574
500,100,10,7,251,115,136,1.182608695652174,4.358598947525024
1000,100,10,8,531,265,266,1.0037735849056604,13.705052614212036
1500,100,10,7,785,376,409,1.0877659574468086,16.248101234436035
1986,100,10,12,1395,703,692,1.0158959537572254,37.26451230049133
200,100,10,11,150,75,75,1.0,0.14899516105651855
500,100,10,12,332,168,164,1.024390243902439,3.9130821228027344
1000,100,10,7,459,233,226,1.0309734513274336,12.81469464302063
1500,100,10,8,879,432,447,1.0347222222222223,17.50140619277954
1986,100,10,8,1153,568,585,1.0299295774647887,65.30280113220215
200,100,10,12,151,73,78,1.0684931506849316,0.6422193050384521
500,100,10,8,287,141,146,1.0354609929078014,11.596073627471924
1000,100,10,14,771,374,397,1.0614973262032086,49.992058753967285
1500,100,10,8,868,424,444,1.0471698113207548,32.14259648323059
1986,100,10,11,1351,669,682,1.0194319880418534,70.87522196769714
200,100,10,13,157,74,83,1.1216216216216217,1.113551139831543
500,100,10,13,340,166,174,1.0481927710843373,11.092350721359253
1000,100,10,11,627,301,326,1.0830564784053156,38.53921055793762
1500,100,10,6,754,371,383,1.0323450134770888,25.221993446350098
1986,100,10,10,1287,646,641,1.0078003120124805,72.37365794181824
200,100,10,8,129,67,62,1.0806451612903225,0.8290033340454102
500,100,10,9,286,140,146,1.042857142857143,9.472306489944458
1000,100,10,11,679,329,350,1.0638297872340425,43.96102333068848
1500,100,10,10,966,477,489,1.0251572327044025,36.22265362739563
1986,100,10,10,1304,649,655,1.0092449922958397,71.17978930473328
200,100,10,13,157,79,78,1.0128205128205128,1.009089708328247
500,100,10,12,350,170,180,1.0588235294117647,12.483656644821167
1000,100,10,10,634,315,319,1.0126984126984127,52.85693168640137
1500,100,10,13,1123,563,560,1.0053571428571428,42.4130072593689
1986,100,10,11,1371,691,680,1.0161764705882352,75.18346190452576
200,100,10,10,142,69,73,1.0579710144927537,0.7784931659698486
500,100,10,12,344,168,176,1.0476190476190477,10.5651273727417
1000,100,10,4,390,192,198,1.03125,52.59346890449524
1500,100,10,9,941,457,484,1.0590809628008753,40.02912139892578
1986,100,10,16,1606,798,808,1.012531328320802,66.3278398513794
200,100,10,9,130,65,65,1.0,0.6321721076965332
500,100,10,12,355,174,181,1.0402298850574712,8.935789585113525
1000,100,10,10,639,312,327,1.0480769230769231,38.856834411621094
1500,100,10,10,974,473,501,1.0591966173361522,35.30289888381958
1986,100,10,11,1359,672,687,1.0223214285714286,69.59278702735901
200,100,10,10,144,71,73,1.028169014084507,1.4783575534820557
500,100,10,12,344,171,173,1.0116959064327486,14.025115728378296
1000,100,10,11,640,318,322,1.0125786163522013,43.53194451332092
1500,100,10,9,934,457,477,1.0437636761487965,40.25284767150879
1986,100,10,8,1181,586,595,1.015358361774744,106.11546349525452
200,100,10,9,138,63,75,1.1904761904761905,0.6680283546447754
500,100,10,9,322,150,172,1.1466666666666667,17.390586614608765
1000,100,10,10,628,312,316,1.0128205128205128,43.35986852645874
1500,100,10,9,920,458,462,1.0087336244541485,56.500869035720825
1986,100,10,12,1417,714,703,1.0156472261735419,90.74507808685303
200,100,10,9,141,69,72,1.0434782608695652,0.6031098365783691
500,100,10,9,303,143,160,1.118881118881119,11.07242465019226
1000,100,10,11,670,338,332,1.0180722891566265,45.755064249038696
1500,100,10,13,1118,555,563,1.0144144144144145,33.709707498550415
1986,100,10,7,1065,528,537,1.0170454545454546,60.424978256225586
200,100,10,7,130,63,67,1.0634920634920635,1.0855224132537842
500,100,10,11,331,157,174,1.10828025477707,11.34615969657898
1000,100,10,11,689,326,363,1.1134969325153374,54.500927686691284
1500,100,10,16,1199,601,598,1.0050167224080269,27.93505358695984
1986,100,10,10,1310,666,644,1.0341614906832297,57.681795597076416
200,100,10,10,139,66,73,1.106060606060606,0.44091296195983887
500,100,10,10,327,159,168,1.0566037735849056,12.889682054519653
1000,100,10,7,547,266,281,1.056390977443609,58.024980306625366
1500,100,10,11,1059,533,526,1.0133079847908746,41.25220322608948
1986,100,10,8,1184,590,594,1.006779661016949,82.56112504005432
200,100,10,9,133,67,66,1.0151515151515151,0.5484051704406738
500,100,10,11,333,168,165,1.018181818181818,11.527689695358276
1000,100,10,10,626,301,325,1.079734219269103,50.41436004638672
1500,100,10,10,970,473,497,1.0507399577167018,40.10620880126953
